Taxa	Country
ICARDA_G0340	Argentina
ICARDA_G1161	Egypt
ICARDA_G0722	Iran
ICARDA_G1249	Russia
ICARDA_G0263	Canada
ICARDA_G0295	Germany
ICARDA_G0375	France
ICARDA_G0317	United Kingdom
ICARDA_G1438	Australia
ICARDA_G1292	United States
ICARDA_G0586	Turkey
ICARDA_G0801	China
ICARDA_G1375	India
ICARDA_G0194	Brazil
ICARDA_G0148	Australia
ICARDA_G0661	United States
ICARDA_G1392	Turkey
ICARDA_G0909	China
ICARDA_G1087	India
ICARDA_G1208	Brazil
ICARDA_G0181	Canada
ICARDA_G0221	Australia
ICARDA_G1267	Germany
ICARDA_G0745	Mexico
ICARDA_G0436	South Africa
ICARDA_G0545	Argentina
ICARDA_G1370	Egypt
ICARDA_G0858	Iran
ICARDA_G0103	Russia
ICARDA_G0887	Canada
ICARDA_G1427	Germany
ICARDA_G1330	France
ICARDA_G0854	United Kingdom
ICARDA_G0700	Australia
ICARDA_G1199	United States
ICARDA_G0061	Turkey
ICARDA_G0720	China
ICARDA_G1468	India
ICARDA_G0788	Brazil
ICARDA_G0687	Canada
ICARDA_G1085	Australia
ICARDA_G0105	Germany
ICARDA_G0142	Mexico
ICARDA_G1215	Argentina
ICARDA_G1153	Egypt
ICARDA_G1101	Iran
ICARDA_G0411	Russia
ICARDA_G0752	Canada
ICARDA_G0572	Germany
ICARDA_G0600	France
ICARDA_G0216	United Kingdom
ICARDA_G1331	Australia
ICARDA_G0931	United States
ICARDA_G0445	Turkey
ICARDA_G1448	China
ICARDA_G0270	India
ICARDA_G0301	Brazil
ICARDA_G1433	Brazil
ICARDA_G0621	Canada
ICARDA_G1218	Australia
ICARDA_G1274	Germany
ICARDA_G1232	Mexico
ICARDA_G0341	Argentina
ICARDA_G1379	Egypt
ICARDA_G1029	Iran
ICARDA_G0084	Russia
ICARDA_G0016	Canada
ICARDA_G0463	Germany
ICARDA_G0707	France
ICARDA_G1173	United Kingdom
ICARDA_G0121	Australia
ICARDA_G0033	United States
ICARDA_G0461	Turkey
ICARDA_G0493	China
ICARDA_G1183	India
ICARDA_G0650	Argentina
ICARDA_G1253	Egypt
ICARDA_G1004	Iran
ICARDA_G0383	Russia
ICARDA_G1285	Canada
ICARDA_G0692	Germany
ICARDA_G1365	France
ICARDA_G0433	United Kingdom
ICARDA_G0012	Australia
ICARDA_G0599	United States
ICARDA_G0451	Turkey
ICARDA_G1096	China
ICARDA_G0400	Argentina
ICARDA_G0548	Egypt
ICARDA_G0882	Iran
ICARDA_G1115	Russia
ICARDA_G0265	Canada
ICARDA_G0562	Germany
ICARDA_G0693	France
ICARDA_G1044	United Kingdom
ICARDA_G0660	Australia
ICARDA_G0325	United States
ICARDA_G1058	Turkey
ICARDA_G0279	China
ICARDA_G0738	India
ICARDA_G0880	Argentina
ICARDA_G0373	Egypt
ICARDA_G0034	Iran
ICARDA_G0337	Russia
ICARDA_G1083	Canada
ICARDA_G0982	Germany
ICARDA_G0967	France
ICARDA_G0418	United Kingdom
ICARDA_G1145	Australia
ICARDA_G0964	United States
ICARDA_G0140	Turkey
ICARDA_G0915	China
ICARDA_G0876	Argentina
ICARDA_G1097	Egypt
ICARDA_G1281	Iran
ICARDA_G0976	Russia
ICARDA_G0324	Canada
ICARDA_G1449	Germany
ICARDA_G0845	France
ICARDA_G0282	United Kingdom
ICARDA_G0571	Australia
ICARDA_G0520	United States
ICARDA_G0775	Argentina
ICARDA_G0276	Egypt
ICARDA_G0154	Iran
ICARDA_G1384	Russia
ICARDA_G0651	Canada
ICARDA_G0225	Germany
ICARDA_G1283	France
ICARDA_G0944	United Kingdom
ICARDA_G0918	Australia
ICARDA_G0777	United States
ICARDA_G1383	Turkey
ICARDA_G0921	China
ICARDA_G1207	India
ICARDA_G1456	Brazil
ICARDA_G0009	Germany
ICARDA_G0465	Mexico
ICARDA_G0396	South Africa
ICARDA_G0163	Argentina
ICARDA_G0565	Egypt
ICARDA_G0583	Iran
ICARDA_G0311	Russia
ICARDA_G0628	Canada
ICARDA_G0522	Germany
ICARDA_G0920	France
ICARDA_G1241	United Kingdom
ICARDA_G1337	Australia
ICARDA_G0467	United States
ICARDA_G0629	Turkey
ICARDA_G0492	China
ICARDA_G1460	India
ICARDA_G1299	Brazil
ICARDA_G0762	Canada
ICARDA_G0971	Australia
ICARDA_G1165	Germany
ICARDA_G1320	Mexico
ICARDA_G1162	South Africa
ICARDA_G0010	Argentina
ICARDA_G0509	Egypt
ICARDA_G0118	Iran
ICARDA_G0823	Russia
ICARDA_G0654	Canada
ICARDA_G1035	Germany
ICARDA_G0848	France
ICARDA_G0198	United Kingdom
ICARDA_G0636	Australia
ICARDA_G0557	United States
ICARDA_G0475	Turkey
ICARDA_G0038	China
ICARDA_G0881	India
ICARDA_G1008	Brazil
ICARDA_G0314	Canada
ICARDA_G0232	Australia
ICARDA_G0248	Germany
ICARDA_G0273	Mexico
ICARDA_G0312	South Africa
ICARDA_G0327	Argentina
ICARDA_G0082	Egypt
ICARDA_G1231	Iran
ICARDA_G1325	Russia
ICARDA_G0359	Canada
ICARDA_G0329	Germany
ICARDA_G0261	France
ICARDA_G0192	United Kingdom
ICARDA_G1151	Australia
ICARDA_G0893	United States
ICARDA_G0649	Turkey
ICARDA_G0471	China
ICARDA_G0681	India
ICARDA_G0751	Brazil
ICARDA_G0532	Canada
ICARDA_G0698	Australia
ICARDA_G0847	Germany
ICARDA_G0942	Mexico
ICARDA_G0119	South Africa
ICARDA_G0370	Argentina
ICARDA_G0669	Egypt
ICARDA_G1094	Iran
ICARDA_G1147	Russia
ICARDA_G0364	Canada
ICARDA_G0643	Germany
ICARDA_G0152	France
ICARDA_G0483	United Kingdom
ICARDA_G0664	Australia
ICARDA_G0172	United States
ICARDA_G0731	Turkey
ICARDA_G1216	China
ICARDA_G0625	India
ICARDA_G0581	Brazil
ICARDA_G0663	Canada
ICARDA_G0933	Australia
ICARDA_G1366	Germany
ICARDA_G0697	Mexico
ICARDA_G0622	South Africa
ICARDA_G0203	Argentina
ICARDA_G0109	Egypt
ICARDA_G0966	Iran
ICARDA_G1069	Russia
ICARDA_G0491	Canada
ICARDA_G0428	Germany
ICARDA_G0078	France
ICARDA_G0356	United Kingdom
ICARDA_G0569	Australia
ICARDA_G0797	United States
ICARDA_G0001	Turkey
ICARDA_G0503	China
ICARDA_G1234	India
ICARDA_G0778	Brazil
ICARDA_G0401	Canada
ICARDA_G1431	Australia
ICARDA_G0901	Germany
ICARDA_G0501	Mexico
ICARDA_G0434	South Africa
ICARDA_G0202	Argentina
ICARDA_G0665	Egypt
ICARDA_G0489	Iran
ICARDA_G0184	Russia
ICARDA_G0890	Canada
ICARDA_G0345	Germany
ICARDA_G1391	France
ICARDA_G0513	United Kingdom
ICARDA_G0287	Australia
ICARDA_G0219	United States
ICARDA_G1418	Turkey
ICARDA_G1275	China
ICARDA_G1150	India
ICARDA_G1446	Brazil
ICARDA_G1439	Canada
ICARDA_G1065	Australia
ICARDA_G0412	Germany
ICARDA_G0497	Mexico
ICARDA_G0460	South Africa
ICARDA_G0430	Argentina
ICARDA_G0371	Egypt
ICARDA_G0767	Iran
ICARDA_G0224	Russia
ICARDA_G0267	Canada
ICARDA_G0916	Germany
ICARDA_G0336	France
ICARDA_G1461	United Kingdom
ICARDA_G1405	Australia
ICARDA_G1012	United States
ICARDA_G1445	Turkey
ICARDA_G0521	China
ICARDA_G1311	India
ICARDA_G1124	Brazil
ICARDA_G0237	Canada
ICARDA_G1301	Australia
ICARDA_G0607	Germany
ICARDA_G0523	Mexico
ICARDA_G1272	South Africa
ICARDA_G0014	Argentina
ICARDA_G0006	Egypt
ICARDA_G1371	Iran
ICARDA_G0239	Russia
ICARDA_G1120	Canada
ICARDA_G0360	Germany
ICARDA_G1409	France
ICARDA_G1296	United Kingdom
ICARDA_G0138	Australia
ICARDA_G1462	United States
ICARDA_G0556	Turkey
ICARDA_G0406	China
ICARDA_G1005	India
ICARDA_G1454	Brazil
ICARDA_G0885	Canada
ICARDA_G0659	Australia
ICARDA_G0110	Germany
ICARDA_G0385	Mexico
ICARDA_G0304	South Africa
ICARDA_G0929	Argentina
ICARDA_G0435	Egypt
ICARDA_G0975	Iran
ICARDA_G0580	Russia
ICARDA_G1026	Canada
ICARDA_G0898	Germany
ICARDA_G1038	France
ICARDA_G0355	United Kingdom
ICARDA_G1077	Australia
ICARDA_G0598	United States
ICARDA_G0302	Turkey
ICARDA_G0183	China
ICARDA_G0476	India
ICARDA_G0018	Brazil
ICARDA_G0680	Canada
ICARDA_G0754	Australia
ICARDA_G0099	Germany
ICARDA_G0057	Mexico
ICARDA_G0098	South Africa
ICARDA_G0441	Argentina
ICARDA_G0529	Egypt
ICARDA_G0888	Iran
ICARDA_G0446	Russia
ICARDA_G0283	Canada
ICARDA_G0578	Germany
ICARDA_G0393	France
ICARDA_G0299	United Kingdom
ICARDA_G0466	Australia
ICARDA_G1127	United States
ICARDA_G1288	Turkey
ICARDA_G0634	China
ICARDA_G0948	India
ICARDA_G0117	Brazil
ICARDA_G0236	Canada
ICARDA_G0366	Australia
ICARDA_G0394	Germany
ICARDA_G0206	Mexico
ICARDA_G0116	South Africa
ICARDA_G0323	Argentina
ICARDA_G0568	Egypt
ICARDA_G1003	Iran
ICARDA_G0744	Russia
ICARDA_G0891	Canada
ICARDA_G0158	Germany
ICARDA_G0984	France
ICARDA_G0646	United Kingdom
ICARDA_G1403	Australia
ICARDA_G0894	United States
ICARDA_G0238	Turkey
ICARDA_G0936	China
ICARDA_G0328	India
ICARDA_G0480	Country
ICARDA_G1455	Brazil
ICARDA_G0753	Canada
ICARDA_G1326	Australia
ICARDA_G0712	Germany
ICARDA_G0955	Mexico
ICARDA_G1110	South Africa
ICARDA_G0974	Argentina
ICARDA_G0747	Egypt
ICARDA_G0180	Iran
ICARDA_G1258	Russia
ICARDA_G1059	Canada
ICARDA_G0398	Germany
ICARDA_G1377	France
ICARDA_G0015	United Kingdom
ICARDA_G0730	Australia
ICARDA_G0500	United States
ICARDA_G0861	Turkey
ICARDA_G0427	China
ICARDA_G1243	India
ICARDA_G1413	Brazil
ICARDA_G0450	Canada
ICARDA_G0405	Australia
ICARDA_G1247	Germany
ICARDA_G1262	Mexico
ICARDA_G0579	South Africa
ICARDA_G1397	Argentina
ICARDA_G0547	Egypt
ICARDA_G0260	Iran
ICARDA_G1114	Russia
ICARDA_G0004	Canada
ICARDA_G0049	Germany
ICARDA_G0020	France
ICARDA_G1047	United Kingdom
ICARDA_G1264	Australia
ICARDA_G0240	United States
ICARDA_G1465	Turkey
ICARDA_G1068	China
ICARDA_G0603	India
ICARDA_G1361	Brazil
ICARDA_G0392	Canada
ICARDA_G0601	Australia
ICARDA_G1246	Germany
ICARDA_G0438	Mexico
ICARDA_G0455	South Africa
ICARDA_G0231	Argentina
ICARDA_G0591	Egypt
ICARDA_G0331	Iran
ICARDA_G1233	Russia
ICARDA_G0407	Canada
ICARDA_G0102	Germany
ICARDA_G0046	France
ICARDA_G0131	United Kingdom
ICARDA_G0204	Australia
ICARDA_G0315	United States
ICARDA_G0941	Turkey
ICARDA_G0019	China
ICARDA_G0977	India
ICARDA_G0696	Brazil
ICARDA_G1092	Canada
ICARDA_G1066	Australia
ICARDA_G0528	Germany
ICARDA_G0566	Mexico
ICARDA_G1319	South Africa
ICARDA_G0252	Argentina
ICARDA_G0365	Egypt
ICARDA_G1312	Iran
ICARDA_G1064	Russia
ICARDA_G1294	Canada
ICARDA_G0447	Germany
ICARDA_G0308	France
ICARDA_G0101	United Kingdom
ICARDA_G0756	Australia
ICARDA_G0919	United States
ICARDA_G0755	Turkey
ICARDA_G1206	China
ICARDA_G0322	India
ICARDA_G1321	Brazil
ICARDA_G0403	Canada
ICARDA_G0524	Australia
ICARDA_G1436	Germany
ICARDA_G0457	Mexico
ICARDA_G0035	South Africa
ICARDA_G1212	Argentina
ICARDA_G0233	Egypt
ICARDA_G1441	Iran
ICARDA_G0388	Russia
ICARDA_G1368	Canada
ICARDA_G1021	Germany
ICARDA_G1276	France
ICARDA_G1350	United Kingdom
ICARDA_G0293	Australia
ICARDA_G0926	United States
ICARDA_G0631	Turkey
ICARDA_G0706	China
ICARDA_G0703	India
ICARDA_G1188	Brazil
ICARDA_G0387	Canada
ICARDA_G0334	Australia
ICARDA_G1018	Germany
ICARDA_G1362	Mexico
ICARDA_G0749	South Africa
ICARDA_G0313	Argentina
ICARDA_G0320	Egypt
ICARDA_G0563	Iran
ICARDA_G1192	Russia
ICARDA_G0126	Canada
ICARDA_G1367	Germany
ICARDA_G0742	France
ICARDA_G0076	United Kingdom
ICARDA_G0627	Australia
ICARDA_G1109	United States
ICARDA_G1305	Turkey
ICARDA_G1160	China
ICARDA_G1421	India
ICARDA_G0736	Brazil
ICARDA_G1345	Canada
ICARDA_G0246	Australia
ICARDA_G0005	Germany
ICARDA_G0776	Mexico
ICARDA_G1382	South Africa
ICARDA_G0234	Argentina
ICARDA_G0284	Egypt
ICARDA_G0502	Iran
ICARDA_G1081	Russia
ICARDA_G1404	Canada
ICARDA_G0986	Germany
ICARDA_G0518	France
ICARDA_G0670	United Kingdom
ICARDA_G1175	Australia
ICARDA_G0042	United States
ICARDA_G1022	Turkey
ICARDA_G1308	China
ICARDA_G1108	India
ICARDA_G0536	Brazil
ICARDA_G0732	Canada
ICARDA_G0653	Australia
ICARDA_G0914	Germany
ICARDA_G1217	Mexico
ICARDA_G0321	South Africa
ICARDA_G1390	Argentina
ICARDA_G1224	Egypt
ICARDA_G0855	Iran
ICARDA_G0906	Russia
ICARDA_G0774	Canada
ICARDA_G0244	Germany
ICARDA_G1416	France
ICARDA_G0985	United Kingdom
ICARDA_G1105	Australia
ICARDA_G0129	United States
ICARDA_G0413	Turkey
ICARDA_G1209	China
ICARDA_G0567	India
ICARDA_G0980	Brazil
ICARDA_G1107	Canada
ICARDA_G0205	Australia
ICARDA_G0230	Germany
ICARDA_G1189	Mexico
ICARDA_G1417	South Africa
ICARDA_G0473	Argentina
ICARDA_G0262	Egypt
ICARDA_G0978	Iran
ICARDA_G0678	Russia
ICARDA_G1257	Canada
ICARDA_G0146	Germany
ICARDA_G0426	France
ICARDA_G0865	United Kingdom
ICARDA_G0342	Australia
ICARDA_G0256	United States
ICARDA_G0965	Turkey
ICARDA_G1133	China
ICARDA_G0130	India
ICARDA_G1225	Brazil
ICARDA_G0540	Canada
ICARDA_G1432	Australia
ICARDA_G0249	Germany
ICARDA_G0804	Mexico
ICARDA_G1389	South Africa
ICARDA_G0112	Argentina
ICARDA_G0147	Egypt
ICARDA_G0361	Iran
ICARDA_G0333	Russia
ICARDA_G1260	Canada
ICARDA_G0454	Germany
ICARDA_G0800	France
ICARDA_G1420	United Kingdom
ICARDA_G0286	Australia
ICARDA_G0689	United States
ICARDA_G0825	Turkey
ICARDA_G1111	China
ICARDA_G0081	India
ICARDA_G0404	Brazil
ICARDA_G0905	Canada
ICARDA_G0597	Australia
ICARDA_G1340	Germany
ICARDA_G1178	Mexico
ICARDA_G0040	South Africa
ICARDA_G0134	Argentina
ICARDA_G0717	Egypt
ICARDA_G0195	Iran
ICARDA_G0495	Russia
ICARDA_G0011	Canada
ICARDA_G0037	Germany
ICARDA_G0947	France
ICARDA_G1306	United Kingdom
ICARDA_G1414	Australia
ICARDA_G1051	United States
ICARDA_G1415	Turkey
ICARDA_G0164	China
ICARDA_G0477	India
ICARDA_G0298	Brazil
ICARDA_G0766	Canada
